id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,clockSec
4018095024,4,"{'id': '615', 'text': 'Jumpball'}",Kristaps Porzingis vs. Isaiah Jackson (Jalen Johnson gains possession),0,0,1,12:00,False,0,{'id': '1'},"[{'athlete': {'id': '3102531'}}, {'athlete': {'id': '4432170'}}, {'athlete': {'id': '4701230'}}]",2025-10-31T23:10:42Z,False,"{'x': -214748340, 'y': -214748365}",720.0
4018095027,7,"{'id': '128', 'text': 'Driving Finger Roll Layup'}",Jalen Johnson makes 4-foot two point shot,2,0,1,11:40,True,2,{'id': '1'},[{'athlete': {'id': '4701230'}}],2025-10-31T23:10:59Z,True,"{'x': 29, 'y': 0}",700.0
4018095028,8,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Zaccharie Risacher blocks Jarace Walker 's 4-foot driving floating jump shot,2,0,1,11:20,False,0,{'id': '11'},"[{'athlete': {'id': '5106060'}}, {'athlete': {'id': '5211175'}}]",2025-10-31T23:11:20Z,True,"{'x': 23, 'y': 4}",680.0
40180950210,10,"{'id': '155', 'text': 'Defensive Rebound'}",Kristaps Porzingis defensive rebound,2,0,1,11:18,False,0,{'id': '1'},[{'athlete': {'id': '3102531'}}],2025-10-31T23:11:22Z,False,"{'x': 23, 'y': 4}",678.0
40180950227,27,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Nickeil Alexander-Walker bad pass (Quenton Jackson steals),2,0,1,11:06,False,0,{'id': '1'},"[{'athlete': {'id': '4278039'}}, {'athlete': {'id': '4592829'}}]",2025-10-31T23:11:41Z,False,"{'x': 31, 'y': 42}",666.0
40180950214,14,"{'id': '131', 'text': 'Pullup Jump Shot'}",Jarace Walker makes 27-foot three pointer,2,3,1,10:51,True,3,{'id': '11'},[{'athlete': {'id': '5106060'}}],2025-10-31T23:11:49Z,True,"{'x': 23, 'y': 27}",651.0
40180950215,15,"{'id': '145', 'text': 'Driving Floating Bank Jump Shot'}",Dyson Daniels makes two point shot,4,3,1,10:40,True,2,{'id': '1'},[{'athlete': {'id': '4869342'}}],2025-10-31T23:12:00Z,True,"{'x': 25, 'y': 1}",640.0
40180950216,16,"{'id': '110', 'text': 'Driving Layup Shot'}",Pascal Siakam makes driving layup (Jarace Walker assists),4,5,1,10:24,True,2,{'id': '11'},"[{'athlete': {'id': '3149673'}}, {'athlete': {'id': '5106060'}}]",2025-10-31T23:12:16Z,True,"{'x': 28, 'y': 0}",624.0
40180950218,18,"{'id': '92', 'text': 'Jump Shot'}",Kristaps Porzingis misses 31-foot three point jumper,4,5,1,10:14,False,0,{'id': '1'},[{'athlete': {'id': '3102531'}}],2025-10-31T23:12:27Z,True,"{'x': 40, 'y': 27}",614.0
40180950219,19,"{'id': '155', 'text': 'Defensive Rebound'}",Pascal Siakam defensive rebound,4,5,1,10:10,False,0,{'id': '11'},[{'athlete': {'id': '3149673'}}],2025-10-31T23:12:31Z,False,"{'x': 40, 'y': 27}",610.0
40180950220,20,"{'id': '147', 'text': 'Step Back Bank Jump Shot'}",Pascal Siakam makes 28-foot three point shot (Quenton Jackson assists),4,8,1,10:04,True,3,{'id': '11'},"[{'athlete': {'id': '3149673'}}, {'athlete': {'id': '4592829'}}]",2025-10-31T23:12:37Z,True,"{'x': 34, 'y': 28}",604.0
40180950221,21,"{'id': '92', 'text': 'Jump Shot'}",Nickeil Alexander-Walker misses 27-foot three point jumper,4,8,1,9:52,False,0,{'id': '1'},[{'athlete': {'id': '4278039'}}],2025-10-31T23:12:47Z,True,"{'x': 20, 'y': 27}",592.0
40180950222,22,"{'id': '155', 'text': 'Defensive Rebound'}",Isaiah Jackson defensive rebound,4,8,1,9:48,False,0,{'id': '11'},[{'athlete': {'id': '4432170'}}],2025-10-31T23:12:51Z,False,"{'x': 20, 'y': 27}",588.0
40180950223,23,"{'id': '44', 'text': 'Shooting Foul'}",Zaccharie Risacher shooting foul,4,8,1,9:43,False,0,{'id': '1'},[{'athlete': {'id': '5211175'}}],2025-10-31T23:12:58Z,False,"{'x': 33, 'y': 5}",583.0
40180950225,25,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Pascal Siakam makes free throw 1 of 2,4,9,1,9:43,True,1,{'id': '11'},[{'athlete': {'id': '3149673'}}],2025-10-31T23:13:32Z,True,"{'x': -214748340, 'y': -214748365}",583.0
40180950226,26,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Pascal Siakam makes free throw 2 of 2,4,10,1,9:43,True,1,{'id': '11'},[{'athlete': {'id': '3149673'}}],2025-10-31T23:13:32Z,True,"{'x': -214748340, 'y': -214748365}",583.0
40180950229,29,"{'id': '141', 'text': 'Cutting Layup Shot'}",Jalen Johnson makes 2-foot layup (Kristaps Porzingis assists),6,10,1,9:30,True,2,{'id': '1'},"[{'athlete': {'id': '4701230'}}, {'athlete': {'id': '3102531'}}]",2025-10-31T23:14:02Z,True,"{'x': 23, 'y': 1}",570.0
40180950231,31,"{'id': '92', 'text': 'Jump Shot'}",Aaron Nesmith makes 28-foot three point jumper (Pascal Siakam assists),6,13,1,9:19,True,3,{'id': '11'},"[{'athlete': {'id': '4396909'}}, {'athlete': {'id': '3149673'}}]",2025-10-31T23:14:13Z,True,"{'x': 5, 'y': 21}",559.0
40180950233,33,"{'id': '114', 'text': 'Turnaround Jump Shot'}",Dyson Daniels misses 4-foot two point shot,6,13,1,9:07,False,0,{'id': '1'},[{'athlete': {'id': '4869342'}}],2025-10-31T23:14:26Z,True,"{'x': 23, 'y': 4}",547.0
40180950234,34,"{'id': '156', 'text': 'Offensive Rebound'}",Kristaps Porzingis offensive rebound,6,13,1,9:06,False,0,{'id': '1'},[{'athlete': {'id': '3102531'}}],2025-10-31T23:14:27Z,False,"{'x': 23, 'y': 4}",546.0
40180950235,35,"{'id': '45', 'text': 'Personal Foul'}",Isaiah Jackson personal foul,6,13,1,9:05,False,0,{'id': '11'},[{'athlete': {'id': '4432170'}}],2025-10-31T23:14:30Z,False,"{'x': 23, 'y': 1}",545.0
40180950238,38,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Kristaps Porzingis bad pass (Aaron Nesmith steals),6,13,1,8:54,False,0,{'id': '1'},"[{'athlete': {'id': '3102531'}}, {'athlete': {'id': '4396909'}}]",2025-10-31T23:15:13Z,False,"{'x': 29, 'y': 19}",534.0
40180950240,40,"{'id': '44', 'text': 'Shooting Foul'}",Jalen Johnson shooting foul,6,13,1,8:48,False,0,{'id': '1'},[{'athlete': {'id': '4701230'}}],2025-10-31T23:15:22Z,False,"{'x': 26, 'y': 3}",528.0
40180950242,42,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Aaron Nesmith makes free throw 1 of 2,6,14,1,8:48,True,1,{'id': '11'},[{'athlete': {'id': '4396909'}}],2025-10-31T23:15:50Z,True,"{'x': -214748340, 'y': -214748365}",528.0
40180950243,43,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Aaron Nesmith makes free throw 2 of 2,6,15,1,8:48,True,1,{'id': '11'},[{'athlete': {'id': '4396909'}}],2025-10-31T23:16:08Z,True,"{'x': -214748340, 'y': -214748365}",528.0
40180950244,44,"{'id': '131', 'text': 'Pullup Jump Shot'}",Kristaps Porzingis misses 17-foot pullup jump shot,6,15,1,8:33,False,0,{'id': '1'},[{'athlete': {'id': '3102531'}}],2025-10-31T23:16:24Z,True,"{'x': 36, 'y': 15}",513.0
