id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,clockSec
4018100434,4,"{'id': '615', 'text': 'Jumpball'}",Kevon Looney vs. Victor Wembanyama (Stephon Castle gains possession),0,0,1,12:00,False,0,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '3155535'}}, {'athlete': {'id': '4845367'}}]",2025-11-09T01:10:26Z,False,"{'x': -214748340, 'y': -214748365}",0,720.0
4018100437,7,"{'id': '92', 'text': 'Jump Shot'}",Harrison Barnes misses 26-foot three point jumper,0,0,1,11:42,False,0,{'id': '24'},[{'athlete': {'id': '6578'}}],2025-11-09T01:10:41Z,True,"{'x': 11, 'y': 23}",3,702.0
4018100438,8,"{'id': '156', 'text': 'Offensive Rebound'}",Stephon Castle offensive rebound,0,0,1,11:39,False,0,{'id': '24'},[{'athlete': {'id': '4845367'}}],2025-11-09T01:10:44Z,False,"{'x': 11, 'y': 23}",0,699.0
4018100439,9,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell makes 26-foot three point jumper (Stephon Castle assists),0,3,1,11:37,True,3,{'id': '24'},"[{'athlete': {'id': '4395630'}}, {'athlete': {'id': '4845367'}}]",2025-11-09T01:10:46Z,True,"{'x': 41, 'y': 21}",3,697.0
40181004312,12,"{'id': '64', 'text': 'Traveling'}",Kevon Looney traveling,0,3,1,11:14,False,0,{'id': '3'},[{'athlete': {'id': '3155535'}}],2025-11-09T01:11:36Z,False,"{'x': 25, 'y': 8}",0,674.0
40181004313,13,"{'id': '131', 'text': 'Pullup Jump Shot'}",De'Aaron Fox misses 25-foot three point pullup jump shot,0,3,1,11:00,False,0,{'id': '24'},[{'athlete': {'id': '4066259'}}],2025-11-09T01:12:05Z,True,"{'x': 43, 'y': 18}",3,660.0
40181004314,14,"{'id': '156', 'text': 'Offensive Rebound'}",De'Aaron Fox offensive rebound,0,3,1,10:58,False,0,{'id': '24'},[{'athlete': {'id': '4066259'}}],2025-11-09T01:12:07Z,False,"{'x': 43, 'y': 18}",0,658.0
40181004315,15,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell misses 25-foot three point jumper,0,3,1,10:56,False,0,{'id': '24'},[{'athlete': {'id': '4395630'}}],2025-11-09T01:12:09Z,True,"{'x': 10, 'y': 21}",3,656.0
40181004316,16,"{'id': '155', 'text': 'Defensive Rebound'}",Kevon Looney defensive rebound,0,3,1,10:52,False,0,{'id': '3'},[{'athlete': {'id': '3155535'}}],2025-11-09T01:12:13Z,False,"{'x': 10, 'y': 21}",0,652.0
40181004317,17,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Herbert Jones bad pass (Victor Wembanyama steals),0,3,1,10:43,False,0,{'id': '3'},"[{'athlete': {'id': '4277813'}}, {'athlete': {'id': '5104157'}}]",2025-11-09T01:12:22Z,False,"{'x': 21, 'y': 6}",0,643.0
