id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,team,participants,clockSec
4018101874,4,"{'id': '615', 'text': 'Jumpball'}",vs. ,0,0,1,12:00,False,0,2025-12-04T01:41:12Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,,,720.0
4018101877,7,"{'id': '615', 'text': 'Jumpball'}",Bam Adebayo vs. Anthony Davis (Tyler Herro gains possession),0,0,1,12:00,False,0,2025-12-04T01:41:43Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,{'id': '14'},"[{'athlete': {'id': '4066261'}}, {'athlete': {'id': '6583'}}, {'athlete': {'id': '4395725'}}]",720.0
40181018710,10,"{'id': '92', 'text': 'Jump Shot'}",Bam Adebayo makes 26-foot three point jumper (Andrew Wiggins assists),3,0,1,11:43,True,3,2025-12-04T01:41:55Z,True,"{'x': 26, 'y': 26}",3,+3 Points,{'id': '14'},"[{'athlete': {'id': '4066261'}}, {'athlete': {'id': '3059319'}}]",703.0
40181018712,12,"{'id': '132', 'text': 'Step Back Jump Shot'}",Ryan Nembhard misses 13-foot step back jumpshot,3,0,1,11:16,False,0,2025-12-04T01:42:22Z,True,"{'x': 12, 'y': 0}",2,Missed FG,{'id': '6'},[{'athlete': {'id': '4433629'}}],676.0
40181018713,13,"{'id': '155', 'text': 'Defensive Rebound'}",Andrew Wiggins defensive rebound,3,0,1,11:13,False,0,2025-12-04T01:42:25Z,False,"{'x': 12, 'y': 0}",0,Rebound,{'id': '14'},[{'athlete': {'id': '3059319'}}],673.0
40181018714,14,"{'id': '122', 'text': 'Jump Shot Bank'}",Bam Adebayo misses 27-foot jump bank shot,3,0,1,11:06,False,0,2025-12-04T01:42:33Z,True,"{'x': 40, 'y': 23}",3,Missed 3PT,{'id': '14'},[{'athlete': {'id': '4066261'}}],666.0
40181018715,15,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Davis defensive rebound,3,0,1,11:03,False,0,2025-12-04T01:42:36Z,False,"{'x': 40, 'y': 23}",0,Rebound,{'id': '6'},[{'athlete': {'id': '6583'}}],663.0
40181018716,16,"{'id': '63', 'text': 'Lost Ball Turnover'}",Anthony Davis lost ball turnover (Bam Adebayo steals),3,0,1,10:47,False,0,2025-12-04T01:42:51Z,False,"{'x': 28, 'y': 17}",0,Turnover,{'id': '6'},"[{'athlete': {'id': '6583'}}, {'athlete': {'id': '4066261'}}]",647.0
40181018718,18,"{'id': '109', 'text': 'Running Layup Shot'}",Anthony Davis blocks Tyler Herro's two point shot,3,0,1,10:45,False,0,2025-12-04T01:42:56Z,True,"{'x': 25, 'y': 1}",2,Missed FG,{'id': '14'},"[{'athlete': {'id': '4395725'}}, {'athlete': {'id': '6583'}}]",645.0
40181018719,19,"{'id': '156', 'text': 'Offensive Rebound'}",Heat offensive team rebound,3,0,1,10:44,False,0,2025-12-04T01:42:57Z,False,"{'x': 25, 'y': 1}",0,Rebound,{'id': '14'},,644.0
40181018723,23,"{'id': '132', 'text': 'Step Back Jump Shot'}",Tyler Herro makes 23-foot three point step back jumpshot (Davion Mitchell assists),6,0,1,10:39,True,3,2025-12-04T01:43:26Z,True,"{'x': 2, 'y': 0}",3,+3 Points,{'id': '14'},"[{'athlete': {'id': '4395725'}}, {'athlete': {'id': '4278053'}}]",639.0
40181018725,25,"{'id': '63', 'text': 'Lost Ball Turnover'}",Cooper Flagg lost ball turnover (Tyler Herro steals),6,0,1,10:26,False,0,2025-12-04T01:43:39Z,False,"{'x': 25, 'y': 17}",0,Turnover,{'id': '6'},"[{'athlete': {'id': '5041939'}}, {'athlete': {'id': '4395725'}}]",626.0
40181018727,27,"{'id': '109', 'text': 'Running Layup Shot'}",Tyler Herro makes two point shot,8,0,1,10:23,True,2,2025-12-04T01:43:42Z,True,"{'x': 26, 'y': 4}",2,+2 Points,{'id': '14'},[{'athlete': {'id': '4395725'}}],623.0
40181018728,28,"{'id': '44', 'text': 'Shooting Foul'}",Bam Adebayo shooting foul,8,0,1,10:12,False,0,2025-12-04T01:43:55Z,False,"{'x': 23, 'y': 10}",0,Foul,{'id': '14'},[{'athlete': {'id': '4066261'}}],612.0
