user_id,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
0,0.5,0.5,0.833333333,0.5,1,1,0.722726573,0.841152391,0.644824486
1,1,1,1,1,1,1,1,1,1
2,0,0,1,0,0,0,0,0.333333333,0
3,0,0,0.666666667,0,0,0,0,0.283692929,0
4,0.5,0.833333333,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1
6,0,0,1,0,0,0,0,0.397808801,0
7,0,0,1,0,0,0,0,0.301029996,0
8,0,0,1,0,0,0,0,0.444079401,0
10,0,0,1,0,0,0,0,0.301029996,0
11,0.428571429,0.571428571,1,0.857142857,1,1,0.85393165,0.968331036,0.881617207
mean,0.311688312,0.354978355,0.954545455,0.396103896,0.454545455,0.454545455,0.416059838,0.62458708,0.411494699
