user_id,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
0,0.333333333,0.333333333,0.333333333,0.333333333,1,0.469278726,0.469278726,0.469278726,0.469278726
1,0.153846154,0.307692308,0.615384615,0.769230769,0,0.530721274,0.660839795,0.701509965,0.697714503
2,0.25,0.375,0.625,0.5,1,0.765360637,0.69921482,0.681925847,0.605782507
3,0,0.333333333,0.666666667,0,0,0,0.181541793,0.337968035,0
4,0.333333333,0.333333333,0.333333333,0.333333333,0,0.296081911,0.296081911,0.296081911,0.296081911
5,0,0,0,0,0,0,0,0,0
6,0.285714286,0.428571429,0.857142857,0.714285714,1,0.703918089,0.654808658,0.799692741,0.720235662
7,0,0.25,0.5,0,0,0,0.151019618,0.268535723,0
8,0.166666667,0.333333333,0.5,0.333333333,0,0.234639363,0.30078518,0.355835514,0.2683638
9,0.25,0.25,0.5,0.25,0,0.234639363,0.195190025,0.318341219,0.195190025
10,0.142857143,0.428571429,0.714285714,0.571428571,0,0.234639363,0.44685353,0.536529106,0.453783085
11,0.666666667,0.666666667,0.666666667,0.666666667,0,0.530721274,0.530721274,0.530721274,0.530721274
12,0.142857143,0.142857143,0.714285714,0.428571429,1,0.469278726,0.339160205,0.626617803,0.464414703
13,0.25,0.375,0.625,0.5,0,0.530721274,0.514771445,0.54712887,0.474012032
14,0.2,0.4,0.7,0.7,1,0.765360637,0.830419897,0.742124626,0.742124626
15,0.2,0.4,0.4,0.4,1,0.469278726,0.485228555,0.485228555,0.485228555
16,0.666666667,0.666666667,0.666666667,0.666666667,1,0.703918089,0.703918089,0.703918089,0.703918089
17,0.25,0.25,0.5,0.25,1,0.469278726,0.39038005,0.513531244,0.39038005
MEAN,0.238441188,0.348575499,0.550986976,0.412047212,0.444444444,0.411546454,0.436122976,0.495276069,0.416512753
