user_id,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
0,0.333333333,0.5,0.833333333,0.5,0,0.530721274,0.514771445,0.647623851,0.459284666
1,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0.356207187,0
3,0.333333333,0.666666667,1,0.333333333,0,0.234639363,0.416181156,0.572607398,0.234639363
4,0.333333333,0.5,1,0.666666667,0,0.530721274,0.529634717,0.768674179,0.580334993
5,1,1,1,0,0,0.5,0.5,0.5,0
6,0,0,0.5,0,0,0,0,0.177239287,0
7,1,1,1,0,0,0.630929754,0.630929754,0.630929754,0
8,0.333333333,0.666666667,1,0.333333333,0,0.296081911,0.498189257,0.646230213,0.296081911
10,0,1,1,0,0,0,0.430676558,0.430676558,0
11,0.142857143,0.428571429,0.857142857,0.571428571,1,0.469278726,0.616433633,0.76367964,0.597508732
mean,0.316017316,0.523809524,0.835497835,0.218614719,0.090909091,0.290215664,0.376074229,0.499442551,0.197077242
