user_id,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
0,0.5,0.5,0.833333333,0.5,1,1,0.722726573,0.841152391,0.644824486
1,1,1,1,1,1,1,1,1,1
2,0,0,1,0,0,0,0,0.356207187,0
3,0,0,0.666666667,0,0,0,0,0.283692929,0
4,0.5,0.833333333,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1
6,0,0.5,1,0,0,0,0.264068123,0.457494526,0
7,0,0,1,0,0,0,0,0.315464877,0
8,0,0,1,0,0,0,0,0.424959902,0
10,0,0,0,0,0,0,0,0,0
11,0.428571429,0.714285714,1,0.857142857,1,1,1,0.988800903,0.902087075
mean,0.311688312,0.413419913,0.863636364,0.396103896,0.454545455,0.454545455,0.453344972,0.606161156,0.413355596
