Timestamp,Column 1,"📅 בחר את המשחקים האהובים עליך מהשבוע של 20-26 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 13-19 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 6-12 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 30 במרץ-5 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 23-29 במרץ, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 16-22 במרץ, 2025:"
05/05/2025 14:16,"Lakers vs Timberwolves (Apr 27), Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30)","Lakers vs Timberwolves (Apr 26), Nuggets vs Clippers (Apr 26)",,Cavaliers vs Knicks (Apr 11),"Kings vs Pacers (Mar 31), Celtics vs Grizzlies (Mar 31), Bulls vs Thunder (Apr 1)",,
05/05/2025 14:29,"Rockets vs Warriors (Apr 27), Knicks vs Pistons (Apr 27), Lakers vs Timberwolves (Apr 27), Pacers vs Bucks (Apr 28), Rockets vs Warriors (Apr 29), Bucks vs Pacers (Apr 29), Magic vs Celtics (Apr 30), Warriors vs Rockets (Apr 30), Timberwolves vs Lakers (May 1), Knicks vs Pistons (May 1), Nuggets vs Clippers (May 2), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Grizzlies vs Thunder (Apr 20), Timberwolves vs Lakers (Apr 20), Magic vs Celtics (Apr 20), Warriors vs Rockets (Apr 21), Pistons vs Knicks (Apr 21), Clippers vs Nuggets (Apr 22), Timberwolves vs Lakers (Apr 23), Warriors vs Rockets (Apr 24), Knicks vs Pistons (Apr 24), Thunder vs Grizzlies (Apr 25), Nuggets vs Clippers (Apr 25), Lakers vs Timberwolves (Apr 26), Nuggets vs Clippers (Apr 26)","Nuggets vs Rockets (Apr 13), Clippers vs Warriors (Apr 13), Bucks vs Pacers (Apr 19), Clippers vs Nuggets (Apr 19), Pistons vs Knicks (Apr 19)","Celtics vs Knicks (Apr 8), Timberwolves vs Bucks (Apr 9), Lakers vs Thunder (Apr 9), Spurs vs Warriors (Apr 10), Rockets vs Clippers (Apr 10), Cavaliers vs Pacers (Apr 10), Warriors vs Trail Blazers (Apr 12), Rockets vs Lakers (Apr 12)","Warriors vs Lakers (Apr 4), Cavaliers vs Spurs (Apr 5), Nuggets vs Warriors (Apr 5), Mavericks vs Clippers (Apr 5)","Nuggets vs Rockets (Mar 23), Thunder vs Clippers (Mar 24)","Raptors vs Trail Blazers (Mar 16), Nuggets vs Warriors (Mar 18), Cavaliers vs Clippers (Mar 19), Nuggets vs Trail Blazers (Mar 22)"
05/05/2025 16:22,"Knicks vs Pistons (Apr 27), Lakers vs Timberwolves (Apr 27), Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30), Knicks vs Pistons (May 1), Nuggets vs Clippers (May 2), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Timberwolves vs Lakers (Apr 20), Pistons vs Knicks (Apr 21), Bucks vs Pacers (Apr 22), Knicks vs Pistons (Apr 24), Nuggets vs Clippers (Apr 25), Nuggets vs Clippers (Apr 26)","Magic vs Hawks (Apr 13), Heat vs Hawks (Apr 18)","Jazz vs Hawks (Apr 6), Hawks vs 76ers (Apr 11)",Hawks vs Bucks (Mar 30),"Hornets vs Raptors (Mar 28), Suns vs Timberwolves (Mar 29), Jazz vs Nuggets (Mar 29)","Celtics vs Jazz (Mar 22), Nuggets vs Trail Blazers (Mar 22), Nets vs Pacers (Mar 22), Warriors vs Hawks (Mar 22)"
05/05/2025 17:08,"Rockets vs Warriors (Apr 27), Knicks vs Pistons (Apr 27), Lakers vs Timberwolves (Apr 27)",,Jazz vs Timberwolves (Apr 13),,Mavericks vs Bulls (Mar 30),,
05/05/2025 17:10,"Clippers vs Nuggets (Apr 30), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Grizzlies vs Thunder (Apr 20), Pistons vs Knicks (Apr 21), Nuggets vs Clippers (Apr 25)","Clippers vs Warriors (Apr 13), Lakers vs Trail Blazers (Apr 13), Mavericks vs Grizzlies (Apr 19)","Grizzlies vs Hornets (Apr 8), Bulls vs Cavaliers (Apr 8), Hawks vs Magic (Apr 8), Timberwolves vs Bucks (Apr 9), Bucks vs Pistons (Apr 11), Warriors vs Trail Blazers (Apr 12)","Mavericks vs Bulls (Mar 30), Trail Blazers vs Knicks (Mar 30), Warriors vs Spurs (Mar 30), Trail Blazers vs Raptors (Apr 3), Kings vs Hornets (Apr 4)","Bulls vs Lakers (Mar 23), Mavericks vs Nets (Mar 24), Celtics vs Kings (Mar 25), Hawks vs Heat (Mar 27), Rockets vs Jazz (Mar 28)","Heat vs Grizzlies (Mar 16), Hawks vs Nets (Mar 16), Hornets vs Clippers (Mar 16), Raptors vs Suns (Mar 18), Grizzlies vs Trail Blazers (Mar 20), Raptors vs Warriors (Mar 21), Nuggets vs Trail Blazers (Mar 22)"
05/05/2025 17:12,Clippers vs Nuggets (May 3),Nuggets vs Clippers (Apr 26),Pacers vs Cavaliers (Apr 13),"Bucks vs Heat (Apr 6), Mavericks vs Clippers (Apr 6), Trail Blazers vs Jazz (Apr 10), Thunder vs Suns (Apr 10)","Clippers vs Cavaliers (Mar 30), Trail Blazers vs Knicks (Mar 30)",,
05/05/2025 17:12,"Knicks vs Pistons (Apr 27), Celtics vs Magic (Apr 27), Rockets vs Warriors (Apr 29), Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30), Timberwolves vs Lakers (May 1), Nuggets vs Clippers (May 2)","Grizzlies vs Thunder (Apr 20), Magic vs Celtics (Apr 20), Grizzlies vs Thunder (Apr 22), Thunder vs Grizzlies (Apr 25), Cavaliers vs Heat (Apr 26), Nuggets vs Clippers (Apr 26)","Pacers vs Cavaliers (Apr 13), Nuggets vs Rockets (Apr 13), Suns vs Kings (Apr 13), Grizzlies vs Warriors (Apr 16), Heat vs Hawks (Apr 18), Bucks vs Pacers (Apr 19)","Wizards vs Celtics (Apr 6), Suns vs Knicks (Apr 6), 76ers vs Heat (Apr 7), Heat vs Pelicans (Apr 12), Grizzlies vs Nuggets (Apr 12)","Mavericks vs Bulls (Mar 30), Pacers vs Thunder (Mar 30), Hawks vs Bucks (Mar 30), Hornets vs Pelicans (Mar 30), Rockets vs Lakers (Apr 1), Suns vs Bucks (Apr 1), Raptors vs Bulls (Apr 2), Warriors vs Grizzlies (Apr 2)",,"Suns vs Lakers (Mar 16), Hornets vs Clippers (Mar 16), Thunder vs Bucks (Mar 17)"
05/05/2025 17:15,"Rockets vs Warriors (Apr 27), Pacers vs Bucks (Apr 28), Clippers vs Nuggets (Apr 30), Knicks vs Pistons (May 1)","Pistons vs Knicks (Apr 21), Timberwolves vs Lakers (Apr 23), Nuggets vs Clippers (Apr 25), Cavaliers vs Heat (Apr 26)","Bulls vs 76ers (Apr 13), Clippers vs Warriors (Apr 13), Grizzlies vs Warriors (Apr 16), Heat vs Hawks (Apr 18)","Mavericks vs Clippers (Apr 6), Jazz vs Hawks (Apr 6), Suns vs Knicks (Apr 6), 76ers vs Heat (Apr 7), Hornets vs Raptors (Apr 9), Trail Blazers vs Jazz (Apr 10), Hawks vs 76ers (Apr 11), Hornets vs Celtics (Apr 11), Cavaliers vs Knicks (Apr 11), Thunder vs Jazz (Apr 12), Rockets vs Lakers (Apr 12)","Mavericks vs Bulls (Mar 30), Trail Blazers vs Knicks (Mar 30), Pistons vs Timberwolves (Mar 30), Hornets vs Pelicans (Mar 30), Clippers vs Magic (Mar 31), Bulls vs Thunder (Apr 1), Rockets vs Lakers (Apr 1), Magic vs Spurs (Apr 2), Hornets vs Pacers (Apr 2), Heat vs Celtics (Apr 2), Hawks vs Mavericks (Apr 3), Timberwolves vs Nets (Apr 3), Timberwolves vs 76ers (Apr 5)","Bulls vs Lakers (Mar 23), Lakers vs Magic (Mar 24), 76ers vs Pelicans (Mar 25), Raptors vs Nets (Mar 26), Celtics vs Suns (Mar 27), Trail Blazers vs Kings (Mar 28), Heat vs 76ers (Mar 29)","Bulls vs Rockets (Mar 16), Celtics vs Jazz (Mar 22), Cavaliers vs Suns (Mar 22), Nuggets vs Trail Blazers (Mar 22), Grizzlies vs Clippers (Mar 22), Nets vs Pacers (Mar 22), Warriors vs Hawks (Mar 22)"
05/05/2025 17:32,"Rockets vs Warriors (Apr 27), Lakers vs Timberwolves (Apr 27), Rockets vs Warriors (Apr 29), Clippers vs Nuggets (Apr 30), Timberwolves vs Lakers (May 1), Clippers vs Nuggets (May 3)","Timberwolves vs Lakers (Apr 20), Pistons vs Knicks (Apr 21), Bucks vs Pacers (Apr 22), Thunder vs Grizzlies (Apr 25)","Knicks vs Nets (Apr 13), Bulls vs 76ers (Apr 13), Nuggets vs Rockets (Apr 13), Lakers vs Trail Blazers (Apr 13)","Bulls vs Hornets (Apr 6), Wizards vs Celtics (Apr 6), Spurs vs Trail Blazers (Apr 6), Rockets vs Warriors (Apr 7), Heat vs Pelicans (Apr 12), Nets vs Timberwolves (Apr 12), Thunder vs Jazz (Apr 12), Spurs vs Suns (Apr 12), Rockets vs Lakers (Apr 12)","Pacers vs Thunder (Mar 30), Clippers vs Cavaliers (Mar 30), Hawks vs Bucks (Mar 30), Hawks vs Mavericks (Apr 3), Magic vs Wizards (Apr 3), Grizzlies vs Heat (Apr 3)","Celtics vs Suns (Mar 27), Spurs vs Cavaliers (Mar 27), Lakers vs Bulls (Mar 28)","Hawks vs Nets (Mar 16), 76ers vs Rockets (Mar 18), Pacers vs Timberwolves (Mar 18), 76ers vs Spurs (Mar 22), Nets vs Pacers (Mar 22)"
05/05/2025 17:52,"Rockets vs Warriors (Apr 27), Knicks vs Pistons (Apr 27), Lakers vs Timberwolves (Apr 27), Celtics vs Magic (Apr 27), Pacers vs Bucks (Apr 28), Cavaliers vs Heat (Apr 28), Rockets vs Warriors (Apr 29), Bucks vs Pacers (Apr 29), Pistons vs Knicks (Apr 29), Magic vs Celtics (Apr 30), Clippers vs Nuggets (Apr 30), Warriors vs Rockets (Apr 30), Timberwolves vs Lakers (May 1), Knicks vs Pistons (May 1), Nuggets vs Clippers (May 2), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Heat vs Cavaliers (Apr 20), Grizzlies vs Thunder (Apr 20), Timberwolves vs Lakers (Apr 20), Magic vs Celtics (Apr 20), Warriors vs Rockets (Apr 21), Pistons vs Knicks (Apr 21), Clippers vs Nuggets (Apr 22), Bucks vs Pacers (Apr 22), Grizzlies vs Thunder (Apr 22), Timberwolves vs Lakers (Apr 23), Magic vs Celtics (Apr 23), Heat vs Cavaliers (Apr 23), Warriors vs Rockets (Apr 24), Knicks vs Pistons (Apr 24), Thunder vs Grizzlies (Apr 25), Nuggets vs Clippers (Apr 25), Celtics vs Magic (Apr 25), Pacers vs Bucks (Apr 26), Lakers vs Timberwolves (Apr 26), Cavaliers vs Heat (Apr 26), Thunder vs Grizzlies (Apr 26), Nuggets vs Clippers (Apr 26)","Magic vs Hawks (Apr 13), Hornets vs Celtics (Apr 13), Knicks vs Nets (Apr 13), Pacers vs Cavaliers (Apr 13), Wizards vs Heat (Apr 13), Bulls vs 76ers (Apr 13), Pistons vs Bucks (Apr 13), Nuggets vs Rockets (Apr 13), Mavericks vs Grizzlies (Apr 13), Jazz vs Timberwolves (Apr 13), Thunder vs Pelicans (Apr 13), Raptors vs Spurs (Apr 13), Clippers vs Warriors (Apr 13), Lakers vs Trail Blazers (Apr 13), Suns vs Kings (Apr 13), Hawks vs Magic (Apr 15), Grizzlies vs Warriors (Apr 16), Heat vs Bulls (Apr 16), Mavericks vs Kings (Apr 17), Heat vs Hawks (Apr 18), Mavericks vs Grizzlies (Apr 19), Bucks vs Pacers (Apr 19), Clippers vs Nuggets (Apr 19), Pistons vs Knicks (Apr 19)","Bucks vs Heat (Apr 6), Mavericks vs Clippers (Apr 6), Bulls vs Hornets (Apr 6), Raptors vs Nets (Apr 6), Lakers vs Thunder (Apr 6), Jazz vs Hawks (Apr 6), Wizards vs Celtics (Apr 6), Kings vs Cavaliers (Apr 6), Spurs vs Trail Blazers (Apr 6), Suns vs Knicks (Apr 6), Pacers vs Nuggets (Apr 7), Rockets vs Warriors (Apr 7), Kings vs Pistons (Apr 7), 76ers vs Heat (Apr 7), Bucks vs Pelicans (Apr 7), Grizzlies vs Hornets (Apr 8), Bulls vs Cavaliers (Apr 8), Wizards vs Pacers (Apr 8), Hawks vs Magic (Apr 8), Pelicans vs Nets (Apr 8), Celtics vs Knicks (Apr 8), Timberwolves vs Bucks (Apr 9), Lakers vs Thunder (Apr 9), Warriors vs Suns (Apr 9), Spurs vs Clippers (Apr 9), Celtics vs Magic (Apr 9), 76ers vs Wizards (Apr 9), Hornets vs Raptors (Apr 9), Lakers vs Mavericks (Apr 9), Heat vs Bulls (Apr 10), Pelicans vs Bucks (Apr 11), Trail Blazers vs Jazz (Apr 10), Spurs vs Warriors (Apr 10), Thunder vs Suns (Apr 10), Nuggets vs Kings (Apr 10), Rockets vs Clippers (Apr 10), Knicks vs Pistons (Apr 10), Cavaliers vs Pacers (Apr 10), Hawks vs Nets (Apr 10), Timberwolves vs Grizzlies (Apr 11), Bucks vs Pistons (Apr 11), Magic vs Pacers (Apr 11), Hawks vs 76ers (Apr 11), Hornets vs Celtics (Apr 11), Cavaliers vs Knicks (Apr 11), Wizards vs Bulls (Apr 12), Heat vs Pelicans (Apr 12), Raptors vs Mavericks (Apr 12), Nets vs Timberwolves (Apr 12), Grizzlies vs Nuggets (Apr 12), Thunder vs Jazz (Apr 12), Spurs vs Suns (Apr 12), Warriors vs Trail Blazers (Apr 12), Clippers vs Kings (Apr 12), Rockets vs Lakers (Apr 12)","Mavericks vs Bulls (Mar 30), Lakers vs Grizzlies (Mar 30), Pacers vs Thunder (Mar 30)",,
