Timestamp,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
5/18/2025 14:51:01,"Nuggets vs Thunder (May 11), Pacers vs Cavaliers (May 12), Cavaliers vs Pacers (May 13), Thunder vs Nuggets (May 14), Nuggets vs Thunder (May 16), Knicks vs Celtics (May 17)","Bulls vs Trail Blazers (May 4), Rockets vs Thunder (May 4), Warriors vs Nuggets (May 4), Lakers vs Pelicans (May 4), Rockets vs Warriors (May 5), Celtics vs Knicks (May 5), Thunder vs Nuggets (May 6), Celtics vs Knicks (May 7), Thunder vs Nuggets (May 8), Pacers vs Cavaliers (May 9), Nuggets vs Thunder (May 10), Knicks vs Celtics (May 10)","Rockets vs Warriors (Apr 27), Lakers vs Timberwolves (Apr 27), Rockets vs Warriors (Apr 29), Clippers vs Nuggets (Apr 30), Warriors vs Rockets (Apr 30), Timberwolves vs Lakers (May 1), Nuggets vs Clippers (May 2), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Timberwolves vs Lakers (Apr 20), Warriors vs Rockets (Apr 21), Clippers vs Nuggets (Apr 22), Timberwolves vs Lakers (Apr 23), Heat vs Cavaliers (Apr 23), Warriors vs Rockets (Apr 24), Nuggets vs Clippers (Apr 25), Lakers vs Timberwolves (Apr 26), Nuggets vs Clippers (Apr 26)","Nuggets vs Rockets (Apr 13), Lakers vs Trail Blazers (Apr 13), Clippers vs Nuggets (Apr 19)","Lakers vs Thunder (Apr 6), Spurs vs Trail Blazers (Apr 6), Pacers vs Nuggets (Apr 7), Timberwolves vs Bucks (Apr 9), Lakers vs Thunder (Apr 9), Lakers vs Mavericks (Apr 9), Trail Blazers vs Jazz (Apr 10), Nuggets vs Kings (Apr 10), Warriors vs Trail Blazers (Apr 12), Rockets vs Lakers (Apr 12)"
5/18/2025 19:46:34,Pacers vs Cavaliers (May 12),Pacers vs Cavaliers (May 9),Bucks vs Pacers (Apr 29),Heat vs Cavaliers (Apr 20),"Pacers vs Cavaliers (Apr 13), Heat vs Bulls (Apr 16), Heat vs Hawks (Apr 18)","Bucks vs Heat (Apr 6), 76ers vs Heat (Apr 7), Heat vs Bulls (Apr 10)"
5/19/2025 10:26:50,Knicks vs Celtics (May 12),Thunder vs Nuggets (May 6),Pistons vs Knicks (Apr 29),Magic vs Celtics (Apr 23),"Bulls vs 76ers (Apr 13), Nuggets vs Rockets (Apr 13)","Wizards vs Pacers (Apr 8), Timberwolves vs Bucks (Apr 9)"
5/19/2025 10:27:34,"Nuggets vs Thunder (May 11), Cavaliers vs Pacers (May 13), Thunder vs Nuggets (May 14)","Bulls vs Trail Blazers (May 4), Rockets vs Warriors (May 5), Cavaliers vs Pacers (May 6), Knicks vs Celtics (May 10)","Celtics vs Magic (Apr 27), Pistons vs Knicks (Apr 29), Timberwolves vs Lakers (May 1), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)",Nuggets vs Clippers (Apr 25),"Magic vs Hawks (Apr 13), Hornets vs Celtics (Apr 13), Lakers vs Trail Blazers (Apr 13), Suns vs Kings (Apr 13)",
5/19/2025 10:27:46,"Nuggets vs Thunder (May 11), Knicks vs Celtics (May 12), Thunder vs Nuggets (May 14), Celtics vs Knicks (May 14), Nuggets vs Thunder (May 16), Knicks vs Celtics (May 17)","Bulls vs Trail Blazers (May 4), Warriors vs Nuggets (May 4), Hawks vs Knicks (May 4), Celtics vs Knicks (May 5), Celtics vs Knicks (May 7), Knicks vs Celtics (May 10)",,"Pistons vs Knicks (Apr 21), Clippers vs Nuggets (Apr 22), Knicks vs Pistons (Apr 24), Nuggets vs Clippers (Apr 25), Nuggets vs Clippers (Apr 26)","Knicks vs Nets (Apr 13), Clippers vs Nuggets (Apr 19), Pistons vs Knicks (Apr 19)",
5/19/2025 10:37:29,Thunder vs Nuggets (May 14),Warriors vs Nuggets (May 4),Rockets vs Warriors (Apr 29),Grizzlies vs Thunder (Apr 20),Magic vs Hawks (Apr 13),Mavericks vs Clippers (Apr 6)
5/19/2025 11:02:43,"Pacers vs Cavaliers (May 12), Knicks vs Celtics (May 17)",Bulls vs Trail Blazers (May 4),Timberwolves vs Lakers (May 1),Thunder vs Grizzlies (Apr 25),Grizzlies vs Warriors (Apr 16),"76ers vs Heat (Apr 7), Clippers vs Kings (Apr 12)"
5/19/2025 12:40:54,Nuggets vs Thunder (May 16),Lakers vs Pelicans (May 4),"Lakers vs Timberwolves (Apr 27), Pistons vs Knicks (Apr 29), Timberwolves vs Lakers (May 1), Knicks vs Pistons (May 1)","Timberwolves vs Lakers (Apr 20), Pistons vs Knicks (Apr 21), Timberwolves vs Lakers (Apr 23), Knicks vs Pistons (Apr 24), Lakers vs Timberwolves (Apr 26)","Lakers vs Trail Blazers (Apr 13), Pistons vs Knicks (Apr 19)","Lakers vs Thunder (Apr 6), Celtics vs Knicks (Apr 8), Lakers vs Thunder (Apr 9), Lakers vs Mavericks (Apr 9), Knicks vs Pistons (Apr 10), Cavaliers vs Knicks (Apr 11), Rockets vs Lakers (Apr 12)"
5/19/2025 14:28:02,"Warriors vs Timberwolves (May 13), Celtics vs Knicks (May 14), Nuggets vs Thunder (May 16)","Rockets vs Thunder (May 4), Hawks vs Knicks (May 4), Pistons vs Grizzlies (May 4), Cavaliers vs Pacers (May 6), Nuggets vs Thunder (May 10)","Rockets vs Warriors (Apr 29), Bucks vs Pacers (Apr 29), Timberwolves vs Lakers (May 1), Clippers vs Nuggets (May 3)","Magic vs Celtics (Apr 20), Pistons vs Knicks (Apr 21), Bucks vs Pacers (Apr 22), Timberwolves vs Lakers (Apr 23), Nuggets vs Clippers (Apr 25)","Magic vs Hawks (Apr 13), Mavericks vs Kings (Apr 17), Pistons vs Knicks (Apr 19)","Raptors vs Nets (Apr 6), Kings vs Cavaliers (Apr 6), Warriors vs Trail Blazers (Apr 12), Clippers vs Kings (Apr 12), Rockets vs Lakers (Apr 12)"
5/20/2025 22:26:02,"Pacers vs Cavaliers (May 12), Knicks vs Celtics (May 12), Warriors vs Timberwolves (May 13), Cavaliers vs Pacers (May 13), Thunder vs Nuggets (May 14), Timberwolves vs Warriors (May 15), Nuggets vs Thunder (May 16), Knicks vs Celtics (May 17)",,,,,
