Timestamp,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
UNKNOWN,"401768057, 401768044, 401768064","401768056, 401768063",UNKNOWN,401705741,"401705656, 401705659, 401705660",UNKNOWN,UNKNOWN
UNKNOWN,"401767910, 401768043, 401768057, 401768049, 401767911, 401768050, 401768032, 401767912, 401768058, 401768045, 401768065, 401767913, 401768066","401767818, 401767821, 401767822, 401767823, 401768041, 401768061, 401767915, 401767909, 401768042, 401767904, 401768062, 401768056, 401768063","401705759, 401705764, 401767817, 401767819, 401767820","401705717, 401705718, 401705719, 401705729, 401705732, 401705734, 401705749, 401705751","401705683, 401705690, 401705691, 401705693","401705601, 401705602","401705546, 401705556, 401705563, 401705588"
UNKNOWN,"401768043, 401768057, 401768044, 401768064, 401768045, 401768065, 401767913, 401768066","401767821, 401768041, 401768047, 401768042, 401768062, 401768063","401705752, 401766462","401705702, 401705739",401705649,"401705635, 401705637, 401705639","401705586, 401705588, 401705590, 401705591"
UNKNOWN,"401767910, 401768043, 401768057",UNKNOWN,401705761,UNKNOWN,401705643,UNKNOWN,UNKNOWN
UNKNOWN,"401768064, 401767913, 401768066","401767818, 401768041, 401768062","401705764, 401705765, 401766463","401705712, 401705713, 401705715, 401705718, 401705737, 401705749","401705643, 401705648, 401705652, 401705682, 401705684","401705594, 401705606, 401705610, 401705628, 401705631","401705537, 401705544, 401748706, 401705557, 401705574, 401705571, 401705588"
UNKNOWN,401768066,401768063,401705755,"401705697, 401705698, 401705728, 401705730","401705647, 401705648",UNKNOWN,UNKNOWN
UNKNOWN,"401768043, 401768031, 401767911, 401768044, 401768064, 401768058, 401768065","401767818, 401767822, 401767903, 401767904, 401768036, 401768063","401705755, 401705759, 401705766, 401766459, 401766462, 401767817","401705703, 401705706, 401705711, 401705743, 401705746","401705643, 401705645, 401705649, 401705651, 401705662, 401705667, 401705665, 401705666",UNKNOWN,"401705543, 401748706, 401705548"
UNKNOWN,"401767910, 401768049, 401768064, 401768045","401768041, 401767915, 401768062, 401768036","401705757, 401705764, 401766459, 401766462","401705698, 401705702, 401705706, 401705711, 401705724, 401705728, 401705739, 401705740, 401705741, 401705747, 401705751","401705643, 401705648, 401705650, 401705651, 401705657, 401705660, 401705662, 401705554, 401705670, 401705672, 401705675, 401705679, 401705696","401705594, 401705604, 401705607, 401705620, 401705624, 401705632, 401705642","401705536, 401705586, 401705587, 401705588, 401705589, 401705590, 401705591"
UNKNOWN,"401767910, 401768057, 401767911, 401768064, 401768058, 401768066","401767821, 401768041, 401768047, 401767904","401705754, 401705757, 401705759, 401705765","401705699, 401705703, 401705705, 401705709, 401705743, 401705745, 401705747, 401705748, 401705751","401705645, 401705647, 401705649, 401705675, 401705678, 401705680","401705624, 401705625, 401705629","401705544, 401705551, 401705552, 401705584, 401705590"
UNKNOWN,"401768049, 401768050, 401768032, 401768058","401768041, 401767905","401705764, 401766460","401705701, 401705711, 401705734, 401705735, 401705737, 401705743, 401705745, 401705749","401705643, 401705647, 401705650, 401705652, 401705657, 401705659, 401705661, 401705666, 401705668, 401705672, 401705674, 401705676, 401705685, 401705690, 401705691","401705594, 401705597, 401705600, 401705603, 401705606, 401705609, 401705611, 401705613, 401705616, 401705619, 401705620, 401705625, 401705627, 401705632, 401705633, 401705637, 401705641","401705537, 401705542, 401705545, 401748706, 401705553, 401705556, 401705560, 401705561, 401705565, 401705578, 401705569, 401705572, 401705577, 401705581, 401705585, 401705590"
