Timestamp,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
UNKNOWN,"401769823, 401769742, 401769743, 401769990, 401769991, 401769751","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN, 401767914, 401769746, 401769820, 401769747, 401769821, 401769741, 401769822, 401769748","401767910, 401768057, 401767911, 401768064, 401767912, 401768058, 401768065, 401767913, 401768066","401767821, 401767823, 401768061, 401767915, 401768035, 401767909, 401768062, 401768056, 401768063","401705759, 401705765, 401767819","401705701, 401705705, 401705708, 401705718, 401705719, 401705725, 401705728, 401705731, 401705749, 401705751"
UNKNOWN,401769742,401769741,401768050,401767816,"401705755, 401766460, 401766462","401705697, 401705711, 401705726"
UNKNOWN,401769749,401769820,401768044,401768029,"401705757, 401705759","401705714, 401705718"
UNKNOWN,"401769823, 401769743, 401769990","UNKNOWN, 401767914, 401769740, 401769748","401768031, 401768044, 401768058, 401767913, 401768066",401768062,"401705752, 401705753, 401705765, 401705766",UNKNOWN
UNKNOWN,"401769823, 401769749, 401769990, 401769750, 401769991, 401769751","UNKNOWN, UNKNOWN, UNKNOWN, 401769746, 401769747, 401769748",UNKNOWN,"401768041, 401768061, 401768042, 401768062, 401768063","401705754, 401767819, 401767820",UNKNOWN
UNKNOWN,401769990,UNKNOWN,401767911,401767818,401705752,401705698
UNKNOWN,"401769742, 401769751",UNKNOWN,401768058,401767904,401766459,"401705711, 401705750"
UNKNOWN,401769991,UNKNOWN,"401768057, 401768044, 401768058, 401768045","401767821, 401768041, 401767915, 401768042, 401768056","401705765, 401767820","401705701, 401705717, 401705719, 401705725, 401705733, 401705741, 401705751"
UNKNOWN,"401769840, 401769750, 401769991","UNKNOWN, UNKNOWN, UNKNOWN, 401769740, 401769822","401767911, 401768050, 401768058, 401768066","401767822, 401768041, 401768047, 401767915, 401768062","401705752, 401766461, 401767820","401705700, 401705704, 401705749, 401705750, 401705751"
UNKNOWN,"401769742, 401769749, 401769840, 401769743, 401769990, 401769987, 401769991, 401769751",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,401769750,"401769820, 401769821, 401769822",UNKNOWN,UNKNOWN,UNKNOWN,"401705701, 401705749"
UNKNOWN,"401769839, 401769742, 401769749, 401769840, 401769743, 401769750, 401769751","UNKNOWN, UNKNOWN, UNKNOWN, 401769746, 401769837, 401769747, 401769741, 401769748","401768043, 401768031, 401767911, 401768032, 401767913","401767822, 401767823, 401767915, 401767909, 401768030",401705753,"401705703, 401705717, 401705729, 401705740"
