game_id,game_date,home_team,away_team,location,date,hour,game_string,away_score,home_score
401704971,25/12/2024,New York Knicks,San Antonio Spurs,Madison Square Garden,25/12/2024,17:00 UTC,"San Antonio Spurs vs New York Knicks @ Madison Square Garden, 2024-12-25 17:00 UTC",114.0,117.0
401704972,25/12/2024,Dallas Mavericks,Minnesota Timberwolves,American Airlines Center,25/12/2024,19:30 UTC,"Minnesota Timberwolves vs Dallas Mavericks @ American Airlines Center, 2024-12-25 19:30 UTC",105.0,99.0
401704973,25/12/2024,Boston Celtics,Philadelphia 76ers,TD Garden,25/12/2024,22:00 UTC,"Philadelphia 76ers vs Boston Celtics @ TD Garden, 2024-12-25 22:00 UTC",118.0,114.0
401704974,26/12/2024,Golden State Warriors,Los Angeles Lakers,Chase Center,26/12/2024,01:00 UTC,"Los Angeles Lakers vs Golden State Warriors @ Chase Center, 2024-12-26 01:00 UTC",115.0,113.0
401704975,26/12/2024,Phoenix Suns,Denver Nuggets,PHX Arena,26/12/2024,03:30 UTC,"Denver Nuggets vs Phoenix Suns @ PHX Arena, 2024-12-26 03:30 UTC",100.0,110.0
401704976,27/12/2024,Indiana Pacers,Oklahoma City Thunder,Gainbridge Fieldhouse,27/12/2024,00:00 UTC,"Oklahoma City Thunder vs Indiana Pacers @ Gainbridge Fieldhouse, 2024-12-27 00:00 UTC",120.0,114.0
401704977,27/12/2024,Orlando Magic,Miami Heat,Kia Center,27/12/2024,00:00 UTC,"Miami Heat vs Orlando Magic @ Kia Center, 2024-12-27 00:00 UTC",89.0,88.0
401704978,27/12/2024,Washington Wizards,Charlotte Hornets,Capital One Arena,27/12/2024,00:00 UTC,"Charlotte Hornets vs Washington Wizards @ Capital One Arena, 2024-12-27 00:00 UTC",110.0,113.0
401704979,27/12/2024,Atlanta Hawks,Chicago Bulls,State Farm Arena,27/12/2024,00:30 UTC,"Chicago Bulls vs Atlanta Hawks @ State Farm Arena, 2024-12-27 00:30 UTC",133.0,141.0
401704980,27/12/2024,Memphis Grizzlies,Toronto Raptors,FedExForum,27/12/2024,01:00 UTC,"Toronto Raptors vs Memphis Grizzlies @ FedExForum, 2024-12-27 01:00 UTC",126.0,155.0
401704981,27/12/2024,Milwaukee Bucks,Brooklyn Nets,Fiserv Forum,27/12/2024,01:00 UTC,"Brooklyn Nets vs Milwaukee Bucks @ Fiserv Forum, 2024-12-27 01:00 UTC",111.0,105.0
401704982,27/12/2024,New Orleans Pelicans,Houston Rockets,Smoothie King Center,27/12/2024,01:00 UTC,"Houston Rockets vs New Orleans Pelicans @ Smoothie King Center, 2024-12-27 01:00 UTC",128.0,111.0
401704983,27/12/2024,Portland Trail Blazers,Utah Jazz,Moda Center,27/12/2024,03:00 UTC,"Utah Jazz vs Portland Trail Blazers @ Moda Center, 2024-12-27 03:00 UTC",120.0,122.0
401704984,27/12/2024,Sacramento Kings,Detroit Pistons,Golden 1 Center,27/12/2024,03:00 UTC,"Detroit Pistons vs Sacramento Kings @ Golden 1 Center, 2024-12-27 03:00 UTC",114.0,113.0
401704985,28/12/2024,Orlando Magic,New York Knicks,Kia Center,28/12/2024,00:00 UTC,"New York Knicks vs Orlando Magic @ Kia Center, 2024-12-28 00:00 UTC",108.0,85.0
401704986,28/12/2024,Boston Celtics,Indiana Pacers,TD Garden,28/12/2024,00:30 UTC,"Indiana Pacers vs Boston Celtics @ TD Garden, 2024-12-28 00:30 UTC",105.0,142.0
401704987,28/12/2024,Brooklyn Nets,San Antonio Spurs,Barclays Center,28/12/2024,00:30 UTC,"San Antonio Spurs vs Brooklyn Nets @ Barclays Center, 2024-12-28 00:30 UTC",96.0,87.0
401704988,28/12/2024,Houston Rockets,Minnesota Timberwolves,Toyota Center (Houston),28/12/2024,01:00 UTC,"Minnesota Timberwolves vs Houston Rockets @ Toyota Center (Houston), 2024-12-28 01:00 UTC",113.0,112.0
401704989,28/12/2024,New Orleans Pelicans,Memphis Grizzlies,Smoothie King Center,28/12/2024,01:00 UTC,"Memphis Grizzlies vs New Orleans Pelicans @ Smoothie King Center, 2024-12-28 01:00 UTC",132.0,124.0
401704990,28/12/2024,Denver Nuggets,Cleveland Cavaliers,Ball Arena,28/12/2024,02:00 UTC,"Cleveland Cavaliers vs Denver Nuggets @ Ball Arena, 2024-12-28 02:00 UTC",149.0,135.0
401704991,28/12/2024,Phoenix Suns,Dallas Mavericks,PHX Arena,28/12/2024,02:00 UTC,"Dallas Mavericks vs Phoenix Suns @ PHX Arena, 2024-12-28 02:00 UTC",98.0,89.0
401704992,28/12/2024,LA Clippers,Golden State Warriors,Intuit Dome,28/12/2024,03:00 UTC,"Golden State Warriors vs LA Clippers @ Intuit Dome, 2024-12-28 03:00 UTC",92.0,102.0
401704993,28/12/2024,Atlanta Hawks,Miami Heat,State Farm Arena,28/12/2024,20:00 UTC,"Miami Heat vs Atlanta Hawks @ State Farm Arena, 2024-12-28 20:00 UTC",110.0,120.0
401704994,28/12/2024,Charlotte Hornets,Oklahoma City Thunder,Spectrum Center,28/12/2024,23:00 UTC,"Oklahoma City Thunder vs Charlotte Hornets @ Spectrum Center, 2024-12-28 23:00 UTC",106.0,94.0
401704995,29/12/2024,Washington Wizards,New York Knicks,Capital One Arena,29/12/2024,00:00 UTC,"New York Knicks vs Washington Wizards @ Capital One Arena, 2024-12-29 00:00 UTC",136.0,132.0
401704996,29/12/2024,Chicago Bulls,Milwaukee Bucks,United Center,29/12/2024,01:00 UTC,"Milwaukee Bucks vs Chicago Bulls @ United Center, 2024-12-29 01:00 UTC",111.0,116.0
401704997,29/12/2024,Golden State Warriors,Phoenix Suns,Chase Center,29/12/2024,01:30 UTC,"Phoenix Suns vs Golden State Warriors @ Chase Center, 2024-12-29 01:30 UTC",105.0,109.0
401704998,29/12/2024,Denver Nuggets,Detroit Pistons,Ball Arena,29/12/2024,02:00 UTC,"Detroit Pistons vs Denver Nuggets @ Ball Arena, 2024-12-29 02:00 UTC",121.0,134.0
401704999,29/12/2024,Utah Jazz,Philadelphia 76ers,Delta Center,29/12/2024,02:30 UTC,"Philadelphia 76ers vs Utah Jazz @ Delta Center, 2024-12-29 02:30 UTC",114.0,111.0
401705000,29/12/2024,Portland Trail Blazers,Dallas Mavericks,Moda Center,29/12/2024,03:00 UTC,"Dallas Mavericks vs Portland Trail Blazers @ Moda Center, 2024-12-29 03:00 UTC",122.0,126.0
